,lon,lat,k2,k3,k4,k5,k6,centroid
8687,-122.411456231,37.7655489762,[1],[0],[1],[1],[1],0.0
8688,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8689,-122.418562843,37.7884306841,[0],[1],[0],[3],[2],0.0
8690,-122.414845139,37.7605000726,[1],[0],[1],[1],[1],0.0
8691,-122.417802963,37.7562822237,[1],[0],[1],[1],[1],0.0
8692,-122.417577215,37.7603888134,[1],[0],[1],[1],[1],0.0
8693,-122.418486297,37.7634954373,[1],[0],[1],[1],[1],0.0
8694,-122.417710345,37.7842362878,[0],[1],[0],[3],[2],0.0
8695,-122.416261837,37.7853750846,[0],[1],[0],[3],[2],0.0
8696,-122.42174765,37.7627436601,[1],[0],[1],[1],[1],0.0
8697,-122.416078424,37.7620347867,[1],[0],[1],[1],[1],0.0
8698,-122.416230393,37.7636337703,[1],[0],[1],[1],[1],0.0
8699,-122.403409085,37.7531779939,[1],[0],[1],[1],[1],0.0
8700,-122.420120319,37.7877570602,[0],[1],[0],[3],[2],0.0
8701,-122.417180449,37.7619674218,[1],[0],[1],[1],[1],0.0
8702,-122.418274172,37.7870372044,[0],[1],[0],[3],[2],0.0
8703,-122.416070933,37.7612142237,[1],[0],[1],[1],[1],0.0
8704,-122.418467748,37.787965257,[0],[1],[0],[3],[2],0.0
8705,-122.419930112,37.7868262082,[0],[1],[0],[3],[2],0.0
8706,-122.405455789,37.7543370821,[1],[0],[1],[1],[1],0.0
8707,-122.41739283,37.7909741244,[0],[1],[0],[3],[2],0.0
8708,-122.420691681,37.7905770711,[0],[1],[0],[3],[2],0.0
8709,-122.418701003,37.7651098786,[1],[0],[1],[1],[1],0.0
8710,-122.416078424,37.7620347867,[1],[0],[1],[1],[1],0.0
8711,-122.416075285,37.7844496613,[0],[1],[0],[3],[2],0.0
8712,-122.417270976,37.757188559,[1],[0],[1],[1],[1],0.0
